#    L    TT             EE             BB             TE          
    90   0.487825E-09   0.517491E-13   0.290916E-17  -0.221347E-11
    91   0.494580E-09   0.533176E-13   0.171044E-17  -0.229479E-11
    92   0.501355E-09   0.549043E-13   0.489599E-18  -0.237721E-11
    93   0.508152E-09   0.565083E-13  -0.748230E-18  -0.246071E-11
    94   0.514970E-09   0.581291E-13  -0.199770E-17  -0.254527E-11
    95   0.521813E-09   0.597657E-13  -0.325329E-17  -0.263088E-11
    96   0.528680E-09   0.614173E-13  -0.450932E-17  -0.271751E-11
    97   0.535571E-09   0.630829E-13  -0.575997E-17  -0.280513E-11
    98   0.542489E-09   0.647616E-13  -0.699932E-17  -0.289373E-11
    99   0.549431E-09   0.664526E-13  -0.822137E-17  -0.298326E-11
   100   0.556400E-09   0.681555E-13  -0.942007E-17  -0.307371E-11
   101   0.563396E-09   0.698692E-13  -0.105893E-16  -0.316502E-11
   102   0.570419E-09   0.715919E-13  -0.117231E-16  -0.325721E-11
   103   0.577469E-09   0.733248E-13  -0.128154E-16  -0.335020E-11
   104   0.584545E-09   0.750648E-13  -0.138602E-16  -0.344397E-11
   105   0.591648E-09   0.768122E-13  -0.148517E-16  -0.353848E-11
   106   0.598777E-09   0.785660E-13  -0.157841E-16  -0.363369E-11
   107   0.605932E-09   0.803262E-13  -0.166518E-16  -0.372955E-11
   108   0.613112E-09   0.820911E-13  -0.174496E-16  -0.382605E-11
   109   0.620318E-09   0.838607E-13  -0.181723E-16  -0.392311E-11
   110   0.627550E-09   0.856331E-13  -0.188149E-16  -0.402072E-11
   111   0.634807E-09   0.874082E-13  -0.193729E-16  -0.411884E-11
   112   0.642088E-09   0.891856E-13  -0.198419E-16  -0.421741E-11
   113   0.649395E-09   0.909624E-13  -0.202180E-16  -0.431639E-11
   114   0.656725E-09   0.927372E-13  -0.204976E-16  -0.441572E-11
   115   0.664079E-09   0.945101E-13  -0.206775E-16  -0.451536E-11
   116   0.671457E-09   0.962795E-13  -0.207549E-16  -0.461527E-11
   117   0.678858E-09   0.980428E-13  -0.207274E-16  -0.471539E-11
   118   0.686280E-09   0.998001E-13  -0.205932E-16  -0.481566E-11
   119   0.693724E-09   0.101550E-12  -0.203507E-16  -0.491606E-11
   120   0.701189E-09   0.103292E-12  -0.199991E-16  -0.501652E-11
   121   0.708674E-09   0.105023E-12  -0.195379E-16  -0.511701E-11
   122   0.716179E-09   0.106744E-12  -0.189673E-16  -0.521747E-11
   123   0.723702E-09   0.108454E-12  -0.182877E-16  -0.531785E-11
   124   0.731244E-09   0.110151E-12  -0.175004E-16  -0.541811E-11
   125   0.738803E-09   0.111835E-12  -0.166071E-16  -0.551821E-11
   126   0.746380E-09   0.113505E-12  -0.156099E-16  -0.561811E-11
   127   0.753972E-09   0.115161E-12  -0.145117E-16  -0.571774E-11
   128   0.761579E-09   0.116801E-12  -0.133156E-16  -0.581708E-11
   129   0.769201E-09   0.118426E-12  -0.120257E-16  -0.591608E-11
   130   0.776837E-09   0.120034E-12  -0.106462E-16  -0.601469E-11
   131   0.784485E-09   0.121624E-12  -0.918204E-17  -0.611287E-11
   132   0.792147E-09   0.123197E-12  -0.763859E-17  -0.621057E-11
   133   0.799820E-09   0.124749E-12  -0.602172E-17  -0.630772E-11
   134   0.807504E-09   0.126281E-12  -0.433778E-17  -0.640426E-11
   135   0.815198E-09   0.127789E-12  -0.259356E-17  -0.650015E-11
   136   0.822904E-09   0.129272E-12  -0.796267E-18  -0.659532E-11
   137   0.830618E-09   0.130729E-12   0.104648E-17  -0.668970E-11
   138   0.838341E-09   0.132160E-12   0.292669E-17  -0.678326E-11
   139   0.846071E-09   0.133562E-12   0.483605E-17  -0.687595E-11
   140   0.853811E-09   0.134934E-12   0.676593E-17  -0.696771E-11
   141   0.861556E-09   0.136277E-12   0.870741E-17  -0.705851E-11
   142   0.869307E-09   0.137589E-12   0.106514E-16  -0.714827E-11
   143   0.877065E-09   0.138869E-12   0.125884E-16  -0.723696E-11
   144   0.884826E-09   0.140117E-12   0.145091E-16  -0.732454E-11
   145   0.892592E-09   0.141330E-12   0.164038E-16  -0.741094E-11
   146   0.900359E-09   0.142511E-12   0.182628E-16  -0.749614E-11
   147   0.908126E-09   0.143658E-12   0.200764E-16  -0.758007E-11
   148   0.915893E-09   0.144771E-12   0.218348E-16  -0.766268E-11
   149   0.923656E-09   0.145849E-12   0.235285E-16  -0.774394E-11
   150   0.931416E-09   0.146893E-12   0.251478E-16  -0.782379E-11
   151   0.939169E-09   0.147902E-12   0.266833E-16  -0.790219E-11
   152   0.946917E-09   0.148875E-12   0.281259E-16  -0.797908E-11
   153   0.954658E-09   0.149811E-12   0.294666E-16  -0.805439E-11
   154   0.962392E-09   0.150710E-12   0.306966E-16  -0.812807E-11
   155   0.970117E-09   0.151569E-12   0.318077E-16  -0.820005E-11
   156   0.977836E-09   0.152388E-12   0.327918E-16  -0.827028E-11
   157   0.985545E-09   0.153165E-12   0.336413E-16  -0.833869E-11
   158   0.993246E-09   0.153901E-12   0.343493E-16  -0.840523E-11
   159   0.100094E-08   0.154593E-12   0.349090E-16  -0.846983E-11
   160   0.100861E-08   0.155243E-12   0.353145E-16  -0.853246E-11
   161   0.101628E-08   0.155849E-12   0.355601E-16  -0.859303E-11
   162   0.102393E-08   0.156411E-12   0.356412E-16  -0.865153E-11
   163   0.103156E-08   0.156930E-12   0.355533E-16  -0.870786E-11
   164   0.103918E-08   0.157404E-12   0.352930E-16  -0.876200E-11
   165   0.104677E-08   0.157833E-12   0.348574E-16  -0.881389E-11
   166   0.105435E-08   0.158218E-12   0.342444E-16  -0.886348E-11
   167   0.106190E-08   0.158558E-12   0.334526E-16  -0.891073E-11
   168   0.106943E-08   0.158855E-12   0.324814E-16  -0.895563E-11
   169   0.107694E-08   0.159109E-12   0.313309E-16  -0.899812E-11
   170   0.108443E-08   0.159318E-12   0.300022E-16  -0.903817E-11
   171   0.109189E-08   0.159486E-12   0.284970E-16  -0.907574E-11
   172   0.109932E-08   0.159611E-12   0.268179E-16  -0.911080E-11
   173   0.110672E-08   0.159695E-12   0.249682E-16  -0.914332E-11
   174   0.111410E-08   0.159738E-12   0.229523E-16  -0.917327E-11
   175   0.112145E-08   0.159742E-12   0.207751E-16  -0.920065E-11
   176   0.112877E-08   0.159706E-12   0.184424E-16  -0.922540E-11
   177   0.113606E-08   0.159632E-12   0.159609E-16  -0.924749E-11
   178   0.114331E-08   0.159518E-12   0.133379E-16  -0.926685E-11
   179   0.115053E-08   0.159363E-12   0.105815E-16  -0.928343E-11
   180   0.115772E-08   0.159168E-12   0.770053E-17  -0.929719E-11
   181   0.116488E-08   0.158932E-12   0.470457E-17  -0.930809E-11
   182   0.117199E-08   0.158656E-12   0.160380E-17  -0.931608E-11
   183   0.117908E-08   0.158338E-12  -0.159095E-17  -0.932112E-11
   184   0.118612E-08   0.157978E-12  -0.486827E-17  -0.932318E-11
   185   0.119313E-08   0.157578E-12  -0.821620E-17  -0.932220E-11
   186   0.120010E-08   0.157137E-12  -0.116222E-16  -0.931816E-11
   187   0.120703E-08   0.156653E-12  -0.150735E-16  -0.931102E-11
   188   0.121392E-08   0.156129E-12  -0.185566E-16  -0.930076E-11
   189   0.122077E-08   0.155564E-12  -0.220579E-16  -0.928733E-11
   190   0.122758E-08   0.154959E-12  -0.255634E-16  -0.927072E-11
   191   0.123435E-08   0.154313E-12  -0.290588E-16  -0.925092E-11
   192   0.124108E-08   0.153628E-12  -0.325297E-16  -0.922786E-11
   193   0.124776E-08   0.152902E-12  -0.359617E-16  -0.920153E-11
   194   0.125439E-08   0.152137E-12  -0.393400E-16  -0.917194E-11
   195   0.126099E-08   0.151334E-12  -0.426502E-16  -0.913905E-11
   196   0.126753E-08   0.150492E-12  -0.458778E-16  -0.910287E-11
   197   0.127404E-08   0.149613E-12  -0.490082E-16  -0.906338E-11
   198   0.128050E-08   0.148697E-12  -0.520275E-16  -0.902056E-11
   199   0.128691E-08   0.147744E-12  -0.549217E-16  -0.897440E-11
   200   0.129328E-08   0.146756E-12  -0.576772E-16  -0.892491E-11
   201   0.129960E-08   0.145732E-12  -0.602808E-16  -0.887205E-11
   202   0.130587E-08   0.144676E-12  -0.627200E-16  -0.881584E-11
   203   0.131209E-08   0.143591E-12  -0.649826E-16  -0.875620E-11
   204   0.131826E-08   0.142479E-12  -0.670569E-16  -0.869314E-11
   205   0.132437E-08   0.141343E-12  -0.689322E-16  -0.862661E-11
   206   0.133043E-08   0.140186E-12  -0.705981E-16  -0.855660E-11
   207   0.133642E-08   0.139012E-12  -0.720454E-16  -0.848307E-11
   208   0.134235E-08   0.137822E-12  -0.732654E-16  -0.840600E-11
   209   0.134822E-08   0.136620E-12  -0.742504E-16  -0.832540E-11
   210   0.135403E-08   0.135409E-12  -0.749937E-16  -0.824125E-11
   211   0.135978E-08   0.134191E-12  -0.754895E-16  -0.815354E-11
   212   0.136546E-08   0.132970E-12  -0.757330E-16  -0.806226E-11
