#    L    TT             EE             BB             TE          
   387   0.107909E-08   0.202415E-11  -0.992496E-15   0.337056E-10
   388   0.107193E-08   0.205407E-11  -0.103097E-14   0.338068E-10
   389   0.106474E-08   0.208419E-11  -0.106914E-14   0.339031E-10
   390   0.105753E-08   0.211451E-11  -0.110691E-14   0.339946E-10
   391   0.105030E-08   0.214503E-11  -0.114415E-14   0.340811E-10
   392   0.104305E-08   0.217576E-11  -0.118072E-14   0.341627E-10
   393   0.103579E-08   0.220670E-11  -0.121652E-14   0.342392E-10
   394   0.102850E-08   0.223784E-11  -0.125141E-14   0.343107E-10
   395   0.102119E-08   0.226919E-11  -0.128526E-14   0.343771E-10
   396   0.101386E-08   0.230075E-11  -0.131796E-14   0.344383E-10
   397   0.100651E-08   0.233252E-11  -0.134936E-14   0.344943E-10
   398   0.999141E-09   0.236451E-11  -0.137933E-14   0.345450E-10
   399   0.991754E-09   0.239672E-11  -0.140777E-14   0.345904E-10
   400   0.984350E-09   0.242915E-11  -0.143452E-14   0.346305E-10
