#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   179   0.115049E-08  -0.928819E-11   0.391965E-10  -0.928819E-11   0.159583E-12  -0.226340E-12   0.391965E-10  -0.226340E-12   0.395795E-08
   180   0.115768E-08  -0.930217E-11   0.389125E-10  -0.930217E-11   0.159391E-12  -0.227131E-12   0.389125E-10  -0.227131E-12   0.387740E-08
   181   0.116484E-08  -0.931330E-11   0.386304E-10  -0.931330E-11   0.159157E-12  -0.227368E-12   0.386304E-10  -0.227368E-12   0.379861E-08
   182   0.117196E-08  -0.932152E-11   0.383501E-10  -0.932152E-11   0.158882E-12  -0.227084E-12   0.383501E-10  -0.227084E-12   0.372155E-08
   183   0.117905E-08  -0.932680E-11   0.380716E-10  -0.932680E-11   0.158564E-12  -0.226312E-12   0.380716E-10  -0.226312E-12   0.364618E-08
   184   0.118610E-08  -0.932911E-11   0.377949E-10  -0.932911E-11   0.158204E-12  -0.225085E-12   0.377949E-10  -0.225085E-12   0.357248E-08
   185   0.119311E-08  -0.932837E-11   0.375199E-10  -0.932837E-11   0.157803E-12  -0.223436E-12   0.375199E-10  -0.223436E-12   0.350041E-08
   186   0.120008E-08  -0.932459E-11   0.372466E-10  -0.932459E-11   0.157360E-12  -0.221399E-12   0.372466E-10  -0.221399E-12   0.342994E-08
   187   0.120702E-08  -0.931770E-11   0.369749E-10  -0.931770E-11   0.156873E-12  -0.219008E-12   0.369749E-10  -0.219008E-12   0.336104E-08
   188   0.121391E-08  -0.930768E-11   0.367049E-10  -0.930768E-11   0.156346E-12  -0.216294E-12   0.367049E-10  -0.216294E-12   0.329367E-08
   189   0.122076E-08  -0.929451E-11   0.364365E-10  -0.929451E-11   0.155776E-12  -0.213293E-12   0.364365E-10  -0.213293E-12   0.322781E-08
   190   0.122758E-08  -0.927816E-11   0.361697E-10  -0.927816E-11   0.155165E-12  -0.210036E-12   0.361697E-10  -0.210036E-12   0.316342E-08
   191   0.123435E-08  -0.925861E-11   0.359044E-10  -0.925861E-11   0.154513E-12  -0.206557E-12   0.359044E-10  -0.206557E-12   0.310047E-08
   192   0.124108E-08  -0.923580E-11   0.356407E-10  -0.923580E-11   0.153819E-12  -0.202890E-12   0.356407E-10  -0.202890E-12   0.303892E-08
   193   0.124776E-08  -0.920973E-11   0.353784E-10  -0.920973E-11   0.153086E-12  -0.199067E-12   0.353784E-10  -0.199067E-12   0.297876E-08
   194   0.125440E-08  -0.918039E-11   0.351176E-10  -0.918039E-11   0.152312E-12  -0.195122E-12   0.351176E-10  -0.195122E-12   0.291994E-08
   195   0.126100E-08  -0.914775E-11   0.348582E-10  -0.914775E-11   0.151498E-12  -0.191089E-12   0.348582E-10  -0.191089E-12   0.286243E-08
   196   0.126755E-08  -0.911182E-11   0.346002E-10  -0.911182E-11   0.150645E-12  -0.187000E-12   0.346002E-10  -0.187000E-12   0.280620E-08
   197   0.127406E-08  -0.907257E-11   0.343435E-10  -0.907257E-11   0.149754E-12  -0.182889E-12   0.343435E-10  -0.182889E-12   0.275122E-08
   198   0.128052E-08  -0.902999E-11   0.340883E-10  -0.902999E-11   0.148826E-12  -0.178788E-12   0.340883E-10  -0.178788E-12   0.269746E-08
   199   0.128694E-08  -0.898406E-11   0.338343E-10  -0.898406E-11   0.147859E-12  -0.174732E-12   0.338343E-10  -0.174732E-12   0.264488E-08
   200   0.129331E-08  -0.893480E-11   0.335816E-10  -0.893480E-11   0.146857E-12  -0.170754E-12   0.335816E-10  -0.170754E-12   0.259346E-08
   201   0.129964E-08  -0.888217E-11   0.333301E-10  -0.888217E-11   0.145818E-12  -0.166880E-12   0.333301E-10  -0.166880E-12   0.254316E-08
   202   0.130591E-08  -0.882617E-11   0.330798E-10  -0.882617E-11   0.144746E-12  -0.163115E-12   0.330798E-10  -0.163115E-12   0.249396E-08
   203   0.131214E-08  -0.876675E-11   0.328308E-10  -0.876675E-11   0.143645E-12  -0.159454E-12   0.328308E-10  -0.159454E-12   0.244586E-08
   204   0.131831E-08  -0.870388E-11   0.325830E-10  -0.870388E-11   0.142516E-12  -0.155896E-12   0.325830E-10  -0.155896E-12   0.239882E-08
   205   0.132443E-08  -0.863756E-11   0.323363E-10  -0.863756E-11   0.141363E-12  -0.152437E-12   0.323363E-10  -0.152437E-12   0.235285E-08
   206   0.133048E-08  -0.856773E-11   0.320908E-10  -0.856773E-11   0.140188E-12  -0.149074E-12   0.320908E-10  -0.149074E-12   0.230791E-08
   207   0.133648E-08  -0.849437E-11   0.318464E-10  -0.849437E-11   0.138995E-12  -0.145805E-12   0.318464E-10  -0.145805E-12   0.226401E-08
   208   0.134241E-08  -0.841747E-11   0.316031E-10  -0.841747E-11   0.137787E-12  -0.142627E-12   0.316031E-10  -0.142627E-12   0.222111E-08
   209   0.134829E-08  -0.833703E-11   0.313610E-10  -0.833703E-11   0.136566E-12  -0.139536E-12   0.313610E-10  -0.139536E-12   0.217921E-08
   210   0.135410E-08  -0.825302E-11   0.311199E-10  -0.825302E-11   0.135336E-12  -0.136530E-12   0.311199E-10  -0.136530E-12   0.213828E-08
   211   0.135985E-08  -0.816545E-11   0.308798E-10  -0.816545E-11   0.134099E-12  -0.133607E-12   0.308798E-10  -0.133607E-12   0.209832E-08
   212   0.136554E-08  -0.807430E-11   0.306408E-10  -0.807430E-11   0.132858E-12  -0.130762E-12   0.306408E-10  -0.130762E-12   0.205930E-08
   213   0.137116E-08  -0.797955E-11   0.304028E-10  -0.797955E-11   0.131617E-12  -0.127994E-12   0.304028E-10  -0.127994E-12   0.202122E-08
   214   0.137673E-08  -0.788121E-11   0.301659E-10  -0.788121E-11   0.130378E-12  -0.125299E-12   0.301659E-10  -0.125299E-12   0.198405E-08
   215   0.138223E-08  -0.777926E-11   0.299299E-10  -0.777926E-11   0.129144E-12  -0.122675E-12   0.299299E-10  -0.122675E-12   0.194778E-08
   216   0.138766E-08  -0.767371E-11   0.296948E-10  -0.767371E-11   0.127918E-12  -0.120118E-12   0.296948E-10  -0.120118E-12   0.191239E-08
   217   0.139302E-08  -0.756454E-11   0.294608E-10  -0.756454E-11   0.126702E-12  -0.117626E-12   0.294608E-10  -0.117626E-12   0.187787E-08
   218   0.139832E-08  -0.745174E-11   0.292276E-10  -0.745174E-11   0.125499E-12  -0.115196E-12   0.292276E-10  -0.115196E-12   0.184421E-08
   219   0.140354E-08  -0.733532E-11   0.289954E-10  -0.733532E-11   0.124312E-12  -0.112825E-12   0.289954E-10  -0.112825E-12   0.181137E-08
   220   0.140869E-08  -0.721527E-11   0.287640E-10  -0.721527E-11   0.123144E-12  -0.110510E-12   0.287640E-10  -0.110510E-12   0.177936E-08
   221   0.141377E-08  -0.709160E-11   0.285335E-10  -0.709160E-11   0.121996E-12  -0.108248E-12   0.285335E-10  -0.108248E-12   0.174815E-08
   222   0.141877E-08  -0.696428E-11   0.283039E-10  -0.696428E-11   0.120873E-12  -0.106037E-12   0.283039E-10  -0.106037E-12   0.171773E-08
   223   0.142370E-08  -0.683334E-11   0.280751E-10  -0.683334E-11   0.119775E-12  -0.103873E-12   0.280751E-10  -0.103873E-12   0.168809E-08
   224   0.142855E-08  -0.669876E-11   0.278471E-10  -0.669876E-11   0.118706E-12  -0.101754E-12   0.278471E-10  -0.101754E-12   0.165920E-08
   225   0.143332E-08  -0.656058E-11   0.276199E-10  -0.656058E-11   0.117667E-12  -0.996767E-13   0.276199E-10  -0.996767E-13   0.163104E-08
   226   0.143802E-08  -0.641877E-11   0.273935E-10  -0.641877E-11   0.116660E-12  -0.976381E-13   0.273935E-10  -0.976381E-13   0.160362E-08
   227   0.144263E-08  -0.627335E-11   0.271679E-10  -0.627335E-11   0.115690E-12  -0.956355E-13   0.271679E-10  -0.956355E-13   0.157690E-08
   228   0.144716E-08  -0.612433E-11   0.269430E-10  -0.612433E-11   0.114756E-12  -0.936660E-13   0.269430E-10  -0.936660E-13   0.155088E-08
   229   0.145162E-08  -0.597170E-11   0.267188E-10  -0.597170E-11   0.113861E-12  -0.917268E-13   0.267188E-10  -0.917268E-13   0.152553E-08
   230   0.145599E-08  -0.581549E-11   0.264953E-10  -0.581549E-11   0.113008E-12  -0.898148E-13   0.264953E-10  -0.898148E-13   0.150085E-08
   231   0.146028E-08  -0.565570E-11   0.262726E-10  -0.565570E-11   0.112197E-12  -0.879274E-13   0.262726E-10  -0.879274E-13   0.147681E-08
   232   0.146449E-08  -0.549233E-11   0.260504E-10  -0.549233E-11   0.111430E-12  -0.860615E-13   0.260504E-10  -0.860615E-13   0.145340E-08
   233   0.146861E-08  -0.532540E-11   0.258290E-10  -0.532540E-11   0.110710E-12  -0.842143E-13   0.258290E-10  -0.842143E-13   0.143060E-08
   234   0.147265E-08  -0.515494E-11   0.256081E-10  -0.515494E-11   0.110037E-12  -0.823829E-13   0.256081E-10  -0.823829E-13   0.140841E-08
   235   0.147660E-08  -0.498092E-11   0.253879E-10  -0.498092E-11   0.109414E-12  -0.805645E-13   0.253879E-10  -0.805645E-13   0.138679E-08
   236   0.148046E-08  -0.480338E-11   0.251682E-10  -0.480338E-11   0.108842E-12  -0.787562E-13   0.251682E-10  -0.787562E-13   0.136574E-08
   237   0.148424E-08  -0.462234E-11   0.249492E-10  -0.462234E-11   0.108321E-12  -0.769550E-13   0.249492E-10  -0.769550E-13   0.134524E-08
   238   0.148794E-08  -0.443779E-11   0.247307E-10  -0.443779E-11   0.107853E-12  -0.751582E-13   0.247307E-10  -0.751582E-13   0.132528E-08
   239   0.149154E-08  -0.424976E-11   0.245127E-10  -0.424976E-11   0.107437E-12  -0.733627E-13   0.245127E-10  -0.733627E-13   0.130583E-08
   240   0.149506E-08  -0.405828E-11   0.242952E-10  -0.405828E-11   0.107077E-12  -0.715659E-13   0.242952E-10  -0.715659E-13   0.128689E-08
   241   0.149848E-08  -0.386333E-11   0.240783E-10  -0.386333E-11   0.106772E-12  -0.697647E-13   0.240783E-10  -0.697647E-13   0.126844E-08
   242   0.150182E-08  -0.366494E-11   0.238618E-10  -0.366494E-11   0.106523E-12  -0.679563E-13   0.238618E-10  -0.679563E-13   0.125045E-08
   243   0.150507E-08  -0.346315E-11   0.236458E-10  -0.346315E-11   0.106331E-12  -0.661379E-13   0.236458E-10  -0.661379E-13   0.123292E-08
   244   0.150822E-08  -0.325793E-11   0.234302E-10  -0.325793E-11   0.106195E-12  -0.643064E-13   0.234302E-10  -0.643064E-13   0.121584E-08
   245   0.151129E-08  -0.304931E-11   0.232150E-10  -0.304931E-11   0.106117E-12  -0.624591E-13   0.232150E-10  -0.624591E-13   0.119917E-08
   246   0.151427E-08  -0.283731E-11   0.230003E-10  -0.283731E-11   0.106095E-12  -0.605932E-13   0.230003E-10  -0.605932E-13   0.118291E-08
   247   0.151715E-08  -0.262193E-11   0.227859E-10  -0.262193E-11   0.106130E-12  -0.587056E-13   0.227859E-10  -0.587056E-13   0.116705E-08
   248   0.151995E-08  -0.240320E-11   0.225719E-10  -0.240320E-11   0.106223E-12  -0.567935E-13   0.225719E-10  -0.567935E-13   0.115156E-08
   249   0.152265E-08  -0.218112E-11   0.223583E-10  -0.218112E-11   0.106372E-12  -0.548541E-13   0.223583E-10  -0.548541E-13   0.113643E-08
   250   0.152526E-08  -0.195571E-11   0.221450E-10  -0.195571E-11   0.106578E-12  -0.528844E-13   0.221450E-10  -0.528844E-13   0.112165E-08
   251   0.152778E-08  -0.172701E-11   0.219320E-10  -0.172701E-11   0.106840E-12  -0.508824E-13   0.219320E-10  -0.508824E-13   0.110719E-08
   252   0.153021E-08  -0.149509E-11   0.217193E-10  -0.149509E-11   0.107164E-12  -0.488484E-13   0.217193E-10  -0.488484E-13   0.109306E-08
   253   0.153254E-08  -0.126002E-11   0.215070E-10  -0.126002E-11   0.107558E-12  -0.467837E-13   0.215070E-10  -0.467837E-13   0.107925E-08
   254   0.153478E-08  -0.102190E-11   0.212951E-10  -0.102190E-11   0.108029E-12  -0.446895E-13   0.212951E-10  -0.446895E-13   0.106575E-08
   255   0.153692E-08  -0.780802E-12   0.210836E-10  -0.780802E-12   0.108584E-12  -0.425671E-13   0.210836E-10  -0.425671E-13   0.105256E-08
   256   0.153896E-08  -0.536801E-12   0.208726E-10  -0.536801E-12   0.109229E-12  -0.404176E-13   0.208726E-10  -0.404176E-13   0.103968E-08
   257   0.154091E-08  -0.289957E-12   0.206620E-10  -0.289957E-12   0.109972E-12  -0.382422E-13   0.206620E-10  -0.382422E-13   0.102709E-08
   258   0.154276E-08  -0.403835E-13   0.204519E-10  -0.403835E-13   0.110819E-12  -0.360422E-13   0.204519E-10  -0.360422E-13   0.101479E-08
   259   0.154451E-08   0.212004E-12   0.202424E-10   0.212004E-12   0.111776E-12  -0.338187E-13   0.202424E-10  -0.338187E-13   0.100279E-08
   260   0.154617E-08   0.466930E-12   0.200333E-10   0.466930E-12   0.112850E-12  -0.315730E-13   0.200333E-10  -0.315730E-13   0.991063E-09
   261   0.154774E-08   0.724520E-12   0.198249E-10   0.724520E-12   0.114047E-12  -0.293062E-13   0.198249E-10  -0.293062E-13   0.979617E-09
   262   0.154921E-08   0.984599E-12   0.196170E-10   0.984599E-12   0.115373E-12  -0.270197E-13   0.196170E-10  -0.270197E-13   0.968445E-09
   263   0.155059E-08   0.124719E-11   0.194098E-10   0.124719E-11   0.116835E-12  -0.247145E-13   0.194098E-10  -0.247145E-13   0.957541E-09
   264   0.155187E-08   0.151212E-11   0.192032E-10   0.151212E-11   0.118438E-12  -0.223920E-13   0.192032E-10  -0.223920E-13   0.946900E-09
   265   0.155305E-08   0.177952E-11   0.189973E-10   0.177952E-11   0.120185E-12  -0.200532E-13   0.189973E-10  -0.200532E-13   0.936517E-09
   266   0.155414E-08   0.204910E-11   0.187921E-10   0.204910E-11   0.122084E-12  -0.176995E-13   0.187921E-10  -0.176995E-13   0.926387E-09
   267   0.155514E-08   0.232080E-11   0.185876E-10   0.232080E-11   0.124137E-12  -0.153320E-13   0.185876E-10  -0.153320E-13   0.916505E-09
   268   0.155603E-08   0.259474E-11   0.183839E-10   0.259474E-11   0.126350E-12  -0.129519E-13   0.183839E-10  -0.129519E-13   0.906866E-09
   269   0.155683E-08   0.287064E-11   0.181809E-10   0.287064E-11   0.128729E-12  -0.105604E-13   0.181809E-10  -0.105604E-13   0.897464E-09
   270   0.155753E-08   0.314863E-11   0.179788E-10   0.314863E-11   0.131276E-12  -0.815885E-14   0.179788E-10  -0.815885E-14   0.888295E-09
   271   0.155814E-08   0.342843E-11   0.177774E-10   0.342843E-11   0.133998E-12  -0.574832E-14   0.177774E-10  -0.574832E-14   0.879354E-09
   272   0.155864E-08   0.371017E-11   0.175770E-10   0.371017E-11   0.136898E-12  -0.333005E-14   0.175770E-10  -0.333005E-14   0.870636E-09
   273   0.155905E-08   0.399367E-11   0.173774E-10   0.399367E-11   0.139978E-12  -0.905267E-15   0.173774E-10  -0.905267E-15   0.862135E-09
   274   0.155936E-08   0.427907E-11   0.171787E-10   0.427907E-11   0.143244E-12   0.152484E-14   0.171787E-10   0.152484E-14   0.853847E-09
   275   0.155957E-08   0.456608E-11   0.169809E-10   0.456608E-11   0.146698E-12   0.395904E-14   0.169809E-10   0.395904E-14   0.845766E-09
   276   0.155969E-08   0.485482E-11   0.167842E-10   0.485482E-11   0.150346E-12   0.639615E-14   0.167842E-10   0.639615E-14   0.837888E-09
   277   0.155971E-08   0.514513E-11   0.165883E-10   0.514513E-11   0.154189E-12   0.883495E-14   0.165883E-10   0.883495E-14   0.830207E-09
   278   0.155963E-08   0.543693E-11   0.163935E-10   0.543693E-11   0.158231E-12   0.112742E-13   0.163935E-10   0.112742E-13   0.822718E-09
   279   0.155946E-08   0.573034E-11   0.161998E-10   0.573034E-11   0.162475E-12   0.137128E-13   0.161998E-10   0.137128E-13   0.815417E-09
   280   0.155919E-08   0.602519E-11   0.160071E-10   0.602519E-11   0.166921E-12   0.161494E-13   0.160071E-10   0.161494E-13   0.808299E-09
   281   0.155882E-08   0.632150E-11   0.158155E-10   0.632150E-11   0.171575E-12   0.185829E-13   0.158155E-10   0.185829E-13   0.801357E-09
   282   0.155835E-08   0.661921E-11   0.156250E-10   0.661921E-11   0.176436E-12   0.210120E-13   0.156250E-10   0.210120E-13   0.794588E-09
   283   0.155779E-08   0.691822E-11   0.154356E-10   0.691822E-11   0.181508E-12   0.234355E-13   0.154356E-10   0.234355E-13   0.787986E-09
   284   0.155713E-08   0.721848E-11   0.152474E-10   0.721848E-11   0.186794E-12   0.258523E-13   0.152474E-10   0.258523E-13   0.781546E-09
   285   0.155638E-08   0.752000E-11   0.150604E-10   0.752000E-11   0.192294E-12   0.282611E-13   0.150604E-10   0.282611E-13   0.775263E-09
   286   0.155553E-08   0.782280E-11   0.148746E-10   0.782280E-11   0.198011E-12   0.306607E-13   0.148746E-10   0.306607E-13   0.769132E-09
   287   0.155458E-08   0.812682E-11   0.146900E-10   0.812682E-11   0.203945E-12   0.330499E-13   0.146900E-10   0.330499E-13   0.763148E-09
   288   0.155354E-08   0.843188E-11   0.145068E-10   0.843188E-11   0.210098E-12   0.354276E-13   0.145068E-10   0.354276E-13   0.757306E-09
   289   0.155240E-08   0.873820E-11   0.143248E-10   0.873820E-11   0.216471E-12   0.377924E-13   0.143248E-10   0.377924E-13   0.751601E-09
   290   0.155116E-08   0.904551E-11   0.141441E-10   0.904551E-11   0.223065E-12   0.401431E-13   0.141441E-10   0.401431E-13   0.746028E-09
   291   0.154983E-08   0.935393E-11   0.139648E-10   0.935393E-11   0.229884E-12   0.424787E-13   0.139648E-10   0.424787E-13   0.740581E-09
   292   0.154841E-08   0.966340E-11   0.137868E-10   0.966340E-11   0.236915E-12   0.447978E-13   0.137868E-10   0.447978E-13   0.735257E-09
   293   0.154689E-08   0.997392E-11   0.136103E-10   0.997392E-11   0.244176E-12   0.470993E-13   0.136103E-10   0.470993E-13   0.730049E-09
   294   0.154527E-08   0.102853E-10   0.134352E-10   0.102853E-10   0.251662E-12   0.493819E-13   0.134352E-10   0.493819E-13   0.724952E-09
   295   0.154356E-08   0.105978E-10   0.132615E-10   0.105978E-10   0.259361E-12   0.516444E-13   0.132615E-10   0.516444E-13   0.719963E-09
   296   0.154175E-08   0.109111E-10   0.130893E-10   0.109111E-10   0.267287E-12   0.538857E-13   0.130893E-10   0.538857E-13   0.715074E-09
   297   0.153984E-08   0.112253E-10   0.129186E-10   0.112253E-10   0.275428E-12   0.561045E-13   0.129186E-10   0.561045E-13   0.710283E-09
   298   0.153784E-08   0.115403E-10   0.127494E-10   0.115403E-10   0.283790E-12   0.582996E-13   0.127494E-10   0.582996E-13   0.705583E-09
   299   0.153575E-08   0.118562E-10   0.125818E-10   0.118562E-10   0.292369E-12   0.604698E-13   0.125818E-10   0.604698E-13   0.700969E-09
   300   0.153355E-08   0.121730E-10   0.124157E-10   0.121730E-10   0.301161E-12   0.626139E-13   0.124157E-10   0.626139E-13   0.696437E-09
   301   0.153127E-08   0.124906E-10   0.122513E-10   0.124906E-10   0.310184E-12   0.647308E-13   0.122513E-10   0.647308E-13   0.691982E-09
   302   0.152889E-08   0.128090E-10   0.120884E-10   0.128090E-10   0.319417E-12   0.668204E-13   0.120884E-10   0.668204E-13   0.687601E-09
   303   0.152642E-08   0.131280E-10   0.119272E-10   0.131280E-10   0.328880E-12   0.688826E-13   0.119272E-10   0.688826E-13   0.683294E-09
   304   0.152385E-08   0.134476E-10   0.117675E-10   0.134476E-10   0.338574E-12   0.709173E-13   0.117675E-10   0.709173E-13   0.679059E-09
   305   0.152120E-08   0.137676E-10   0.116094E-10   0.137676E-10   0.348500E-12   0.729245E-13   0.116094E-10   0.729245E-13   0.674895E-09
   306   0.151846E-08   0.140878E-10   0.114529E-10   0.140878E-10   0.358666E-12   0.749041E-13   0.114529E-10   0.749041E-13   0.670800E-09
   307   0.151563E-08   0.144082E-10   0.112980E-10   0.144082E-10   0.369065E-12   0.768561E-13   0.112980E-10   0.768561E-13   0.666772E-09
   308   0.151271E-08   0.147287E-10   0.111447E-10   0.147287E-10   0.379706E-12   0.787804E-13   0.111447E-10   0.787804E-13   0.662810E-09
   309   0.150971E-08   0.150492E-10   0.109929E-10   0.150492E-10   0.390590E-12   0.806770E-13   0.109929E-10   0.806770E-13   0.658914E-09
   310   0.150662E-08   0.153695E-10   0.108427E-10   0.153695E-10   0.401706E-12   0.825458E-13   0.108427E-10   0.825458E-13   0.655080E-09
   311   0.150344E-08   0.156894E-10   0.106940E-10   0.156894E-10   0.413076E-12   0.843867E-13   0.106940E-10   0.843867E-13   0.651309E-09
   312   0.150019E-08   0.160090E-10   0.105470E-10   0.160090E-10   0.424689E-12   0.861998E-13   0.105470E-10   0.861998E-13   0.647597E-09
   313   0.149685E-08   0.163280E-10   0.104014E-10   0.163280E-10   0.436557E-12   0.879849E-13   0.104014E-10   0.879849E-13   0.643945E-09
   314   0.149343E-08   0.166465E-10   0.102574E-10   0.166465E-10   0.448668E-12   0.897420E-13   0.102574E-10   0.897420E-13   0.640350E-09
   315   0.148993E-08   0.169642E-10   0.101150E-10   0.169642E-10   0.461025E-12   0.914711E-13   0.101150E-10   0.914711E-13   0.636811E-09
   316   0.148635E-08   0.172810E-10   0.997411E-11   0.172810E-10   0.473646E-12   0.931721E-13   0.997411E-11   0.931721E-13   0.633327E-09
   317   0.148269E-08   0.175971E-10   0.983475E-11   0.175971E-10   0.486513E-12   0.948450E-13   0.983475E-11   0.948450E-13   0.629896E-09
   318   0.147896E-08   0.179122E-10   0.969692E-11   0.179122E-10   0.499635E-12   0.964896E-13   0.969692E-11   0.964896E-13   0.626516E-09
   319   0.147515E-08   0.182261E-10   0.956062E-11   0.182261E-10   0.513014E-12   0.981060E-13   0.956062E-11   0.981060E-13   0.623187E-09
   320   0.147126E-08   0.185389E-10   0.942584E-11   0.185389E-10   0.526659E-12   0.996941E-13   0.942584E-11   0.996941E-13   0.619906E-09
   321   0.146730E-08   0.188505E-10   0.929258E-11   0.188505E-10   0.540560E-12   0.101254E-12   0.929258E-11   0.101254E-12   0.616673E-09
   322   0.146326E-08   0.191607E-10   0.916084E-11   0.191607E-10   0.554719E-12   0.102785E-12   0.916084E-11   0.102785E-12   0.613486E-09
   323   0.145916E-08   0.194695E-10   0.903061E-11   0.194695E-10   0.569135E-12   0.104288E-12   0.903061E-11   0.104288E-12   0.610343E-09
   324   0.145498E-08   0.197768E-10   0.890188E-11   0.197768E-10   0.583809E-12   0.105762E-12   0.890188E-11   0.105762E-12   0.607243E-09
   325   0.145073E-08   0.200826E-10   0.877466E-11   0.200826E-10   0.598752E-12   0.107208E-12   0.877466E-11   0.107208E-12   0.604184E-09
   326   0.144641E-08   0.203867E-10   0.864893E-11   0.203867E-10   0.613962E-12   0.108626E-12   0.864893E-11   0.108626E-12   0.601166E-09
   327   0.144202E-08   0.206890E-10   0.852470E-11   0.206890E-10   0.629432E-12   0.110014E-12   0.852470E-11   0.110014E-12   0.598186E-09
   328   0.143756E-08   0.209895E-10   0.840196E-11   0.209895E-10   0.645160E-12   0.111374E-12   0.840196E-11   0.111374E-12   0.595243E-09
   329   0.143303E-08   0.212884E-10   0.828071E-11   0.212884E-10   0.661159E-12   0.112705E-12   0.828071E-11   0.112705E-12   0.592336E-09
   330   0.142844E-08   0.215852E-10   0.816093E-11   0.215852E-10   0.677417E-12   0.114007E-12   0.816093E-11   0.114007E-12   0.589464E-09
   331   0.142378E-08   0.218800E-10   0.804264E-11   0.218800E-10   0.693945E-12   0.115280E-12   0.804264E-11   0.115280E-12   0.586624E-09
   332   0.141906E-08   0.221727E-10   0.792581E-11   0.221727E-10   0.710744E-12   0.116525E-12   0.792581E-11   0.116525E-12   0.583815E-09
   333   0.141427E-08   0.224634E-10   0.781046E-11   0.224634E-10   0.727804E-12   0.117740E-12   0.781046E-11   0.117740E-12   0.581036E-09
   334   0.140942E-08   0.227519E-10   0.769657E-11   0.227519E-10   0.745136E-12   0.118927E-12   0.769657E-11   0.118927E-12   0.578286E-09
   335   0.140450E-08   0.230381E-10   0.758414E-11   0.230381E-10   0.762728E-12   0.120084E-12   0.758414E-11   0.120084E-12   0.575562E-09
   336   0.139952E-08   0.233221E-10   0.747316E-11   0.233221E-10   0.780593E-12   0.121212E-12   0.747316E-11   0.121212E-12   0.572865E-09
   337   0.139448E-08   0.236039E-10   0.736364E-11   0.236039E-10   0.798730E-12   0.122311E-12   0.736364E-11   0.122311E-12   0.570191E-09
   338   0.138938E-08   0.238833E-10   0.725556E-11   0.238833E-10   0.817140E-12   0.123381E-12   0.725556E-11   0.123381E-12   0.567540E-09
   339   0.138422E-08   0.241604E-10   0.714893E-11   0.241604E-10   0.835823E-12   0.124422E-12   0.714893E-11   0.124422E-12   0.564910E-09
   340   0.137900E-08   0.244351E-10   0.704374E-11   0.244351E-10   0.854790E-12   0.125433E-12   0.704374E-11   0.125433E-12   0.562300E-09
   341   0.137372E-08   0.247073E-10   0.693998E-11   0.247073E-10   0.874020E-12   0.126415E-12   0.693998E-11   0.126415E-12   0.559708E-09
   342   0.136838E-08   0.249770E-10   0.683765E-11   0.249770E-10   0.893524E-12   0.127367E-12   0.683765E-11   0.127367E-12   0.557133E-09
   343   0.136299E-08   0.252441E-10   0.673675E-11   0.252441E-10   0.913302E-12   0.128290E-12   0.673675E-11   0.128290E-12   0.554573E-09
   344   0.135753E-08   0.255085E-10   0.663727E-11   0.255085E-10   0.933346E-12   0.129183E-12   0.663727E-11   0.129183E-12   0.552027E-09
   345   0.135202E-08   0.257703E-10   0.653921E-11   0.257703E-10   0.953664E-12   0.130047E-12   0.653921E-11   0.130047E-12   0.549494E-09
   346   0.134645E-08   0.260292E-10   0.644257E-11   0.260292E-10   0.974248E-12   0.130881E-12   0.644257E-11   0.130881E-12   0.546971E-09
   347   0.134082E-08   0.262854E-10   0.634733E-11   0.262854E-10   0.995108E-12   0.131685E-12   0.634733E-11   0.131685E-12   0.544458E-09
   348   0.133514E-08   0.265387E-10   0.625350E-11   0.265387E-10   0.101622E-11   0.132460E-12   0.625350E-11   0.132460E-12   0.541954E-09
   349   0.132939E-08   0.267893E-10   0.616107E-11   0.267893E-10   0.103763E-11   0.133205E-12   0.616107E-11   0.133205E-12   0.539456E-09
   350   0.132360E-08   0.270370E-10   0.607003E-11   0.270370E-10   0.105931E-11   0.133919E-12   0.607003E-11   0.133919E-12   0.536963E-09
   351   0.131775E-08   0.272819E-10   0.598039E-11   0.272819E-10   0.108127E-11   0.134604E-12   0.598039E-11   0.134604E-12   0.534474E-09
   352   0.131184E-08   0.275240E-10   0.589211E-11   0.275240E-10   0.110352E-11   0.135260E-12   0.589211E-11   0.135260E-12   0.531989E-09
   353   0.130588E-08   0.277631E-10   0.580519E-11   0.277631E-10   0.112604E-11   0.135885E-12   0.580519E-11   0.135885E-12   0.529507E-09
   354   0.129988E-08   0.279993E-10   0.571959E-11   0.279993E-10   0.114884E-11   0.136480E-12   0.571959E-11   0.136480E-12   0.527029E-09
   355   0.129382E-08   0.282325E-10   0.563529E-11   0.282325E-10   0.117190E-11   0.137046E-12   0.563529E-11   0.137046E-12   0.524554E-09
   356   0.128772E-08   0.284626E-10   0.555228E-11   0.284626E-10   0.119522E-11   0.137581E-12   0.555228E-11   0.137581E-12   0.522083E-09
   357   0.128157E-08   0.286894E-10   0.547053E-11   0.286894E-10   0.121881E-11   0.138087E-12   0.547053E-11   0.138087E-12   0.519615E-09
   358   0.127537E-08   0.289131E-10   0.539002E-11   0.289131E-10   0.124264E-11   0.138563E-12   0.539002E-11   0.138563E-12   0.517150E-09
   359   0.126913E-08   0.291333E-10   0.531073E-11   0.291333E-10   0.126672E-11   0.139009E-12   0.531073E-11   0.139009E-12   0.514688E-09
