#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43   0.213795E-09   0.272193E-13   0.281719E-09   0.272193E-13   0.520145E-14   0.276613E-12   0.281719E-09   0.276613E-12   0.530842E-07
    44   0.218592E-09   0.127838E-13   0.272773E-09   0.127838E-13   0.562035E-14   0.193150E-12   0.272773E-09   0.193150E-12   0.523448E-07
    45   0.223447E-09  -0.269722E-14   0.264272E-09  -0.269722E-14   0.606268E-14   0.167502E-12   0.264272E-09   0.167502E-12   0.516046E-07
    46   0.228347E-09  -0.194558E-13   0.256211E-09  -0.194558E-13   0.652726E-14   0.207930E-12   0.256211E-09   0.207930E-12   0.508643E-07
    47   0.233294E-09  -0.375676E-13   0.248546E-09  -0.375676E-13   0.701433E-14   0.293226E-12   0.248546E-09   0.293226E-12   0.501248E-07
    48   0.238287E-09  -0.570716E-13   0.241222E-09  -0.570716E-13   0.752351E-14   0.394814E-12   0.241222E-09   0.394814E-12   0.493869E-07
    49   0.243329E-09  -0.779966E-13   0.234185E-09  -0.779966E-13   0.805438E-14   0.484119E-12   0.234185E-09   0.484119E-12   0.486515E-07
    50   0.248431E-09  -0.100353E-12   0.227382E-09  -0.100353E-12   0.860796E-14   0.532565E-12   0.227382E-09   0.532565E-12   0.479193E-07
    51   0.253605E-09  -0.124127E-12   0.220771E-09  -0.124127E-12   0.918541E-14   0.519673E-12   0.220771E-09   0.519673E-12   0.471912E-07
    52   0.258841E-09  -0.149234E-12   0.214365E-09  -0.149234E-12   0.978767E-14   0.457345E-12   0.214365E-09   0.457345E-12   0.464675E-07
    53   0.264126E-09  -0.175603E-12   0.208189E-09  -0.175603E-12   0.104152E-13   0.365579E-12   0.208189E-09   0.365579E-12   0.457483E-07
    54   0.269454E-09  -0.203276E-12   0.202270E-09  -0.203276E-12   0.110685E-13   0.264373E-12   0.202270E-09   0.264373E-12   0.450339E-07
    55   0.274821E-09  -0.232346E-12   0.196633E-09  -0.232346E-12   0.117483E-13   0.173724E-12   0.196633E-09   0.173724E-12   0.443245E-07
    56   0.280239E-09  -0.262979E-12   0.191295E-09  -0.262979E-12   0.124544E-13   0.109605E-12   0.191295E-09   0.109605E-12   0.436203E-07
