#    L    TT             EE             TE             PP             TP          
   320   0.147126E-08   0.526659E-12   0.185389E-10   0.387081E-08   0.589481E-10
   321   0.146730E-08   0.540560E-12   0.188505E-10   0.385070E-08   0.581156E-10
   322   0.146326E-08   0.554719E-12   0.191607E-10   0.383087E-08   0.572925E-10
   323   0.145916E-08   0.569135E-12   0.194695E-10   0.381132E-08   0.564788E-10
   324   0.145498E-08   0.583809E-12   0.197768E-10   0.379203E-08   0.556746E-10
   325   0.145073E-08   0.598752E-12   0.200826E-10   0.377300E-08   0.548797E-10
   326   0.144641E-08   0.613962E-12   0.203867E-10   0.375422E-08   0.540941E-10
   327   0.144202E-08   0.629432E-12   0.206890E-10   0.373568E-08   0.533179E-10
   328   0.143756E-08   0.645160E-12   0.209895E-10   0.371737E-08   0.525509E-10
   329   0.143303E-08   0.661159E-12   0.212884E-10   0.369929E-08   0.517932E-10
   330   0.142844E-08   0.677417E-12   0.215852E-10   0.368141E-08   0.510448E-10
   331   0.142378E-08   0.693945E-12   0.218800E-10   0.366374E-08   0.503055E-10
   332   0.141906E-08   0.710744E-12   0.221727E-10   0.364626E-08   0.495755E-10
   333   0.141427E-08   0.727804E-12   0.224634E-10   0.362897E-08   0.488546E-10
   334   0.140942E-08   0.745136E-12   0.227519E-10   0.361186E-08   0.481428E-10
   335   0.140450E-08   0.762728E-12   0.230381E-10   0.359491E-08   0.474402E-10
   336   0.139952E-08   0.780593E-12   0.233221E-10   0.357812E-08   0.467466E-10
   337   0.139448E-08   0.798731E-12   0.236039E-10   0.356148E-08   0.460621E-10
   338   0.138938E-08   0.817140E-12   0.238833E-10   0.354498E-08   0.453866E-10
   339   0.138422E-08   0.835823E-12   0.241604E-10   0.352861E-08   0.447202E-10
   340   0.137900E-08   0.854790E-12   0.244351E-10   0.351237E-08   0.440627E-10
   341   0.137372E-08   0.874020E-12   0.247073E-10   0.349624E-08   0.434142E-10
   342   0.136838E-08   0.893524E-12   0.249770E-10   0.348021E-08   0.427746E-10
   343   0.136299E-08   0.913302E-12   0.252441E-10   0.346427E-08   0.421439E-10
   344   0.135753E-08   0.933346E-12   0.255085E-10   0.344843E-08   0.415221E-10
   345   0.135202E-08   0.953664E-12   0.257703E-10   0.343265E-08   0.409091E-10
   346   0.134645E-08   0.974248E-12   0.260292E-10   0.341695E-08   0.403050E-10
   347   0.134082E-08   0.995108E-12   0.262854E-10   0.340131E-08   0.397097E-10
   348   0.133514E-08   0.101622E-11   0.265387E-10   0.338571E-08   0.391231E-10
   349   0.132939E-08   0.103763E-11   0.267893E-10   0.337016E-08   0.385453E-10
   350   0.132360E-08   0.105931E-11   0.270370E-10   0.335464E-08   0.379763E-10
   351   0.131774E-08   0.108127E-11   0.272819E-10   0.333914E-08   0.374159E-10
   352   0.131184E-08   0.110352E-11   0.275240E-10   0.332367E-08   0.368640E-10
   353   0.130588E-08   0.112604E-11   0.277631E-10   0.330821E-08   0.363206E-10
   354   0.129988E-08   0.114884E-11   0.279993E-10   0.329278E-08   0.357855E-10
   355   0.129382E-08   0.117190E-11   0.282325E-10   0.327737E-08   0.352585E-10
   356   0.128772E-08   0.119522E-11   0.284626E-10   0.326198E-08   0.347396E-10
   357   0.128157E-08   0.121881E-11   0.286894E-10   0.324661E-08   0.342285E-10
   358   0.127537E-08   0.124264E-11   0.289131E-10   0.323126E-08   0.337251E-10
   359   0.126913E-08   0.126672E-11   0.291333E-10   0.321593E-08   0.332294E-10
   360   0.126284E-08   0.129103E-11   0.293502E-10   0.320061E-08   0.327411E-10
   361   0.125651E-08   0.131557E-11   0.295635E-10   0.318532E-08   0.322602E-10
   362   0.125014E-08   0.134035E-11   0.297733E-10   0.317004E-08   0.317864E-10
   363   0.124373E-08   0.136534E-11   0.299794E-10   0.315478E-08   0.313197E-10
   364   0.123727E-08   0.139056E-11   0.301819E-10   0.313953E-08   0.308599E-10
   365   0.123078E-08   0.141599E-11   0.303807E-10   0.312430E-08   0.304069E-10
   366   0.122425E-08   0.144163E-11   0.305758E-10   0.310909E-08   0.299605E-10
   367   0.121769E-08   0.146749E-11   0.307671E-10   0.309389E-08   0.295207E-10
   368   0.121109E-08   0.149355E-11   0.309546E-10   0.307870E-08   0.290872E-10
   369   0.120445E-08   0.151983E-11   0.311382E-10   0.306353E-08   0.286599E-10
   370   0.119778E-08   0.154630E-11   0.313178E-10   0.304837E-08   0.282387E-10
   371   0.119107E-08   0.157298E-11   0.314935E-10   0.303323E-08   0.278235E-10
   372   0.118434E-08   0.159985E-11   0.316651E-10   0.301809E-08   0.274141E-10
   373   0.117757E-08   0.162692E-11   0.318327E-10   0.300297E-08   0.270104E-10
   374   0.117077E-08   0.165420E-11   0.319962E-10   0.298786E-08   0.266122E-10
   375   0.116394E-08   0.168167E-11   0.321555E-10   0.297277E-08   0.262195E-10
   376   0.115708E-08   0.170932E-11   0.323106E-10   0.295768E-08   0.258320E-10
   377   0.115019E-08   0.173717E-11   0.324615E-10   0.294260E-08   0.254496E-10
   378   0.114327E-08   0.176519E-11   0.326080E-10   0.292753E-08   0.250723E-10
   379   0.113632E-08   0.179340E-11   0.327502E-10   0.291247E-08   0.246998E-10
   380   0.112935E-08   0.182179E-11   0.328879E-10   0.289742E-08   0.243320E-10
   381   0.112235E-08   0.185036E-11   0.330212E-10   0.288238E-08   0.239688E-10
   382   0.111532E-08   0.187910E-11   0.331500E-10   0.286734E-08   0.236101E-10
   383   0.110827E-08   0.190802E-11   0.332742E-10   0.285232E-08   0.232556E-10
   384   0.110120E-08   0.193712E-11   0.333939E-10   0.283729E-08   0.229054E-10
   385   0.109410E-08   0.196640E-11   0.335089E-10   0.282228E-08   0.225592E-10
   386   0.108697E-08   0.199588E-11   0.336193E-10   0.280727E-08   0.222168E-10
   387   0.107983E-08   0.202553E-11   0.337250E-10   0.279226E-08   0.218783E-10
   388   0.107266E-08   0.205539E-11   0.338260E-10   0.277726E-08   0.215434E-10
   389   0.106546E-08   0.208545E-11   0.339221E-10   0.276227E-08   0.212119E-10
   390   0.105825E-08   0.211570E-11   0.340135E-10   0.274727E-08   0.208838E-10
   391   0.105101E-08   0.214615E-11   0.341001E-10   0.273228E-08   0.205589E-10
   392   0.104375E-08   0.217680E-11   0.341817E-10   0.271730E-08   0.202372E-10
   393   0.103647E-08   0.220765E-11   0.342584E-10   0.270231E-08   0.199183E-10
   394   0.102917E-08   0.223871E-11   0.343302E-10   0.268733E-08   0.196022E-10
   395   0.102184E-08   0.226996E-11   0.343969E-10   0.267234E-08   0.192889E-10
   396   0.101450E-08   0.230143E-11   0.344585E-10   0.265736E-08   0.189780E-10
   397   0.100713E-08   0.233311E-11   0.345150E-10   0.264238E-08   0.186695E-10
   398   0.999745E-09   0.236500E-11   0.345664E-10   0.262740E-08   0.183633E-10
   399   0.992339E-09   0.239710E-11   0.346126E-10   0.261242E-08   0.180592E-10
   400   0.984913E-09   0.242943E-11   0.346535E-10   0.259743E-08   0.177571E-10
   401   0.977468E-09   0.246198E-11   0.346891E-10   0.258244E-08   0.174569E-10
   402   0.970006E-09   0.249473E-11   0.347194E-10   0.256746E-08   0.171585E-10
   403   0.962529E-09   0.252767E-11   0.347445E-10   0.255247E-08   0.168621E-10
   404   0.955040E-09   0.256078E-11   0.347643E-10   0.253749E-08   0.165677E-10
   405   0.947539E-09   0.259404E-11   0.347789E-10   0.252251E-08   0.162753E-10
   406   0.940029E-09   0.262743E-11   0.347882E-10   0.250754E-08   0.159850E-10
   407   0.932513E-09   0.266093E-11   0.347924E-10   0.249258E-08   0.156968E-10
   408   0.924993E-09   0.269451E-11   0.347913E-10   0.247762E-08   0.154108E-10
   409   0.917468E-09   0.272818E-11   0.347851E-10   0.246268E-08   0.151271E-10
   410   0.909944E-09   0.276191E-11   0.347737E-10   0.244775E-08   0.148456E-10
   411   0.902420E-09   0.279566E-11   0.347571E-10   0.243283E-08   0.145664E-10
   412   0.894899E-09   0.282945E-11   0.347354E-10   0.241792E-08   0.142896E-10
   413   0.887384E-09   0.286323E-11   0.347084E-10   0.240304E-08   0.140152E-10
   414   0.879876E-09   0.289701E-11   0.346764E-10   0.238817E-08   0.137433E-10
   415   0.872376E-09   0.293077E-11   0.346391E-10   0.237332E-08   0.134739E-10
   416   0.864888E-09   0.296447E-11   0.345966E-10   0.235850E-08   0.132071E-10
   417   0.857413E-09   0.299813E-11   0.345490E-10   0.234370E-08   0.129429E-10
   418   0.849953E-09   0.303170E-11   0.344962E-10   0.232892E-08   0.126813E-10
   419   0.842510E-09   0.306519E-11   0.344382E-10   0.231417E-08   0.124225E-10
   420   0.835087E-09   0.309856E-11   0.343750E-10   0.229944E-08   0.121664E-10
   421   0.827685E-09   0.313181E-11   0.343067E-10   0.228475E-08   0.119130E-10
   422   0.820305E-09   0.316491E-11   0.342331E-10   0.227009E-08   0.116626E-10
   423   0.812951E-09   0.319785E-11   0.341544E-10   0.225546E-08   0.114150E-10
   424   0.805624E-09   0.323061E-11   0.340705E-10   0.224086E-08   0.111704E-10
   425   0.798325E-09   0.326318E-11   0.339814E-10   0.222630E-08   0.109288E-10
   426   0.791057E-09   0.329555E-11   0.338870E-10   0.221178E-08   0.106902E-10
   427   0.783819E-09   0.332771E-11   0.337874E-10   0.219729E-08   0.104548E-10
   428   0.776617E-09   0.335966E-11   0.336825E-10   0.218285E-08   0.102224E-10
   429   0.769449E-09   0.339137E-11   0.335722E-10   0.216845E-08   0.999326E-11
   430   0.762317E-09   0.342283E-11   0.334566E-10   0.215409E-08   0.976733E-11
   431   0.755225E-09   0.345406E-11   0.333356E-10   0.213977E-08   0.954468E-11
   432   0.748172E-09   0.348501E-11   0.332091E-10   0.212551E-08   0.932537E-11
   433   0.741163E-09   0.351568E-11   0.330772E-10   0.211129E-08   0.910943E-11
   434   0.734196E-09   0.354607E-11   0.329399E-10   0.209712E-08   0.889691E-11
   435   0.727277E-09   0.357615E-11   0.327970E-10   0.208300E-08   0.868787E-11
   436   0.720406E-09   0.360591E-11   0.326486E-10   0.206894E-08   0.848235E-11
   437   0.713585E-09   0.363533E-11   0.324947E-10   0.205493E-08   0.828040E-11
   438   0.706816E-09   0.366441E-11   0.323351E-10   0.204098E-08   0.808207E-11
   439   0.700100E-09   0.369314E-11   0.321699E-10   0.202708E-08   0.788740E-11
   440   0.693440E-09   0.372150E-11   0.319991E-10   0.201325E-08   0.769645E-11
   441   0.686837E-09   0.374948E-11   0.318225E-10   0.199947E-08   0.750925E-11
   442   0.680291E-09   0.377707E-11   0.316402E-10   0.198576E-08   0.732586E-11
   443   0.673804E-09   0.380427E-11   0.314520E-10   0.197211E-08   0.714633E-11
   444   0.667378E-09   0.383106E-11   0.312580E-10   0.195852E-08   0.697071E-11
   445   0.661015E-09   0.385743E-11   0.310581E-10   0.194501E-08   0.679904E-11
   446   0.654715E-09   0.388338E-11   0.308523E-10   0.193156E-08   0.663136E-11
   447   0.648481E-09   0.390889E-11   0.306403E-10   0.191818E-08   0.646774E-11
   448   0.642315E-09   0.393396E-11   0.304223E-10   0.190488E-08   0.630821E-11
   449   0.636220E-09   0.395858E-11   0.301981E-10   0.189164E-08   0.615283E-11
   450   0.630196E-09   0.398273E-11   0.299677E-10   0.187849E-08   0.600163E-11
   451   0.624245E-09   0.400642E-11   0.297310E-10   0.186540E-08   0.585466E-11
   452   0.618367E-09   0.402965E-11   0.294882E-10   0.185240E-08   0.571184E-11
   453   0.612558E-09   0.405245E-11   0.292395E-10   0.183946E-08   0.557309E-11
   454   0.606817E-09   0.407484E-11   0.289853E-10   0.182660E-08   0.543833E-11
   455   0.601140E-09   0.409682E-11   0.287258E-10   0.181381E-08   0.530747E-11
   456   0.595526E-09   0.411842E-11   0.284612E-10   0.180109E-08   0.518042E-11
   457   0.589972E-09   0.413966E-11   0.281917E-10   0.178843E-08   0.505711E-11
   458   0.584475E-09   0.416055E-11   0.279176E-10   0.177584E-08   0.493744E-11
   459   0.579033E-09   0.418111E-11   0.276392E-10   0.176332E-08   0.482133E-11
   460   0.573645E-09   0.420136E-11   0.273566E-10   0.175086E-08   0.470870E-11
   461   0.568307E-09   0.422132E-11   0.270701E-10   0.173846E-08   0.459946E-11
   462   0.563021E-09   0.424102E-11   0.267798E-10   0.172611E-08   0.449353E-11
   463   0.557781E-09   0.426048E-11   0.264859E-10   0.171383E-08   0.439082E-11
   464   0.552590E-09   0.427971E-11   0.261886E-10   0.170160E-08   0.429125E-11
   465   0.547442E-09   0.429873E-11   0.258882E-10   0.168943E-08   0.419474E-11
   466   0.542339E-09   0.431758E-11   0.255848E-10   0.167731E-08   0.410119E-11
   467   0.537276E-09   0.433626E-11   0.252786E-10   0.166525E-08   0.401052E-11
   468   0.532252E-09   0.435480E-11   0.249699E-10   0.165323E-08   0.392265E-11
   469   0.527264E-09   0.437321E-11   0.246587E-10   0.164126E-08   0.383750E-11
   470   0.522310E-09   0.439151E-11   0.243454E-10   0.162935E-08   0.375497E-11
   471   0.517387E-09   0.440972E-11   0.240303E-10   0.161747E-08   0.367499E-11
   472   0.512493E-09   0.442788E-11   0.237134E-10   0.160564E-08   0.359746E-11
   473   0.507626E-09   0.444598E-11   0.233951E-10   0.159386E-08   0.352232E-11
   474   0.502784E-09   0.446404E-11   0.230753E-10   0.158211E-08   0.344946E-11
   475   0.497965E-09   0.448210E-11   0.227545E-10   0.157041E-08   0.337880E-11
   476   0.493168E-09   0.450017E-11   0.224327E-10   0.155874E-08   0.331027E-11
   477   0.488390E-09   0.451826E-11   0.221101E-10   0.154711E-08   0.324377E-11
   478   0.483630E-09   0.453640E-11   0.217870E-10   0.153551E-08   0.317922E-11
   479   0.478889E-09   0.455462E-11   0.214633E-10   0.152395E-08   0.311654E-11
   480   0.474161E-09   0.457293E-11   0.211395E-10   0.151242E-08   0.305564E-11
   481   0.469447E-09   0.459134E-11   0.208155E-10   0.150092E-08   0.299643E-11
   482   0.464743E-09   0.460989E-11   0.204917E-10   0.148945E-08   0.293884E-11
   483   0.460047E-09   0.462857E-11   0.201681E-10   0.147801E-08   0.288277E-11
   484   0.455358E-09   0.464743E-11   0.198450E-10   0.146660E-08   0.282814E-11
   485   0.450672E-09   0.466648E-11   0.195225E-10   0.145520E-08   0.277487E-11
   486   0.445989E-09   0.468573E-11   0.192008E-10   0.144384E-08   0.272287E-11
   487   0.441305E-09   0.470519E-11   0.188800E-10   0.143249E-08   0.267206E-11
   488   0.436619E-09   0.472491E-11   0.185604E-10   0.142116E-08   0.262235E-11
   489   0.431930E-09   0.474488E-11   0.182420E-10   0.140985E-08   0.257366E-11
   490   0.427236E-09   0.476513E-11   0.179250E-10   0.139856E-08   0.252590E-11
   491   0.422535E-09   0.478569E-11   0.176097E-10   0.138728E-08   0.247899E-11
   492   0.417826E-09   0.480655E-11   0.172960E-10   0.137602E-08   0.243285E-11
   493   0.413108E-09   0.482775E-11   0.169843E-10   0.136477E-08   0.238738E-11
   494   0.408378E-09   0.484930E-11   0.166746E-10   0.135353E-08   0.234250E-11
   495   0.403636E-09   0.487123E-11   0.163670E-10   0.134230E-08   0.229814E-11
   496   0.398879E-09   0.489354E-11   0.160618E-10   0.133107E-08   0.225420E-11
   497   0.394104E-09   0.491626E-11   0.157591E-10   0.131986E-08   0.221059E-11
   498   0.389311E-09   0.493939E-11   0.154590E-10   0.130864E-08   0.216725E-11
   499   0.384498E-09   0.496297E-11   0.151617E-10   0.129743E-08   0.212407E-11
   500   0.379661E-09   0.498701E-11   0.148674E-10   0.128623E-08   0.208097E-11
