#    L    TT             EE             TE             PP             TP          
    75   0.390886E-09   0.308337E-13  -0.114800E-11   0.193097E-06   0.758688E-09
    76   0.397087E-09   0.320694E-13  -0.120975E-11   0.189743E-06   0.743619E-09
    77   0.403294E-09   0.333299E-13  -0.127269E-11   0.186433E-06   0.728876E-09
    78   0.409517E-09   0.346144E-13  -0.133685E-11   0.183166E-06   0.714425E-09
    79   0.415769E-09   0.359220E-13  -0.140228E-11   0.179942E-06   0.700234E-09
    80   0.422064E-09   0.372521E-13  -0.146907E-11   0.176761E-06   0.686266E-09
    81   0.428413E-09   0.386041E-13  -0.153725E-11   0.173623E-06   0.672511E-09
    82   0.434819E-09   0.399782E-13  -0.160684E-11   0.170527E-06   0.659041E-09
    83   0.441278E-09   0.413746E-13  -0.167785E-11   0.167475E-06   0.645949E-09
    84   0.447790E-09   0.427935E-13  -0.175027E-11   0.164467E-06   0.633332E-09
    85   0.454353E-09   0.442351E-13  -0.182413E-11   0.161503E-06   0.621282E-09
    86   0.460965E-09   0.456997E-13  -0.189938E-11   0.158583E-06   0.609869E-09
    87   0.467618E-09   0.471868E-13  -0.197598E-11   0.155708E-06   0.599059E-09
    88   0.474303E-09   0.486956E-13  -0.205385E-11   0.152875E-06   0.588794E-09
    89   0.481016E-09   0.502255E-13  -0.213292E-11   0.150086E-06   0.579014E-09
    90   0.487752E-09   0.517752E-13  -0.221317E-11   0.147338E-06   0.569661E-09
    91   0.494507E-09   0.533439E-13  -0.229451E-11   0.144633E-06   0.560684E-09
    92   0.501281E-09   0.549307E-13  -0.237696E-11   0.141968E-06   0.552058E-09
    93   0.508077E-09   0.565348E-13  -0.246047E-11   0.139344E-06   0.543767E-09
    94   0.514894E-09   0.581555E-13  -0.254506E-11   0.136760E-06   0.535794E-09
    95   0.521736E-09   0.597918E-13  -0.263070E-11   0.134217E-06   0.528125E-09
    96   0.528602E-09   0.614430E-13  -0.271735E-11   0.131713E-06   0.520741E-09
    97   0.535493E-09   0.631081E-13  -0.280500E-11   0.129249E-06   0.513627E-09
    98   0.542410E-09   0.647861E-13  -0.289362E-11   0.126824E-06   0.506767E-09
    99   0.549351E-09   0.664763E-13  -0.298318E-11   0.124437E-06   0.500143E-09
   100   0.556320E-09   0.681781E-13  -0.307366E-11   0.122089E-06   0.493740E-09
   101   0.563315E-09   0.698907E-13  -0.316500E-11   0.119778E-06   0.487541E-09
   102   0.570337E-09   0.716122E-13  -0.325722E-11   0.117505E-06   0.481530E-09
   103   0.577386E-09   0.733436E-13  -0.335023E-11   0.115269E-06   0.475691E-09
   104   0.584461E-09   0.750820E-13  -0.344403E-11   0.113071E-06   0.470006E-09
   105   0.591563E-09   0.768277E-13  -0.353857E-11   0.110908E-06   0.464461E-09
   106   0.598692E-09   0.785796E-13  -0.363381E-11   0.108782E-06   0.459037E-09
   107   0.605846E-09   0.803379E-13  -0.372970E-11   0.106692E-06   0.453720E-09
   108   0.613025E-09   0.821007E-13  -0.382623E-11   0.104637E-06   0.448492E-09
   109   0.620231E-09   0.838680E-13  -0.392332E-11   0.102617E-06   0.443338E-09
   110   0.627461E-09   0.856381E-13  -0.402095E-11   0.100631E-06   0.438240E-09
   111   0.634717E-09   0.874108E-13  -0.411911E-11   0.986804E-07   0.433186E-09
   112   0.641998E-09   0.891856E-13  -0.421770E-11   0.967633E-07   0.428177E-09
   113   0.649304E-09   0.909599E-13  -0.431670E-11   0.948798E-07   0.423217E-09
   114   0.656633E-09   0.927320E-13  -0.441606E-11   0.930292E-07   0.418311E-09
   115   0.663986E-09   0.945022E-13  -0.451573E-11   0.912113E-07   0.413462E-09
   116   0.671363E-09   0.962689E-13  -0.461566E-11   0.894256E-07   0.408676E-09
   117   0.678763E-09   0.980294E-13  -0.471580E-11   0.876715E-07   0.403955E-09
   118   0.686184E-09   0.997841E-13  -0.481609E-11   0.859488E-07   0.399306E-09
   119   0.693627E-09   0.101531E-12  -0.491651E-11   0.842569E-07   0.394731E-09
   120   0.701092E-09   0.103270E-12  -0.501700E-11   0.825955E-07   0.390236E-09
   121   0.708576E-09   0.104999E-12  -0.511749E-11   0.809641E-07   0.385824E-09
   122   0.716080E-09   0.106718E-12  -0.521797E-11   0.793622E-07   0.381501E-09
   123   0.723603E-09   0.108425E-12  -0.531838E-11   0.777894E-07   0.377269E-09
   124   0.731144E-09   0.110120E-12  -0.541865E-11   0.762453E-07   0.373135E-09
   125   0.738703E-09   0.111802E-12  -0.551877E-11   0.747295E-07   0.369101E-09
   126   0.746278E-09   0.113469E-12  -0.561868E-11   0.732415E-07   0.365172E-09
   127   0.753869E-09   0.115123E-12  -0.571832E-11   0.717808E-07   0.361353E-09
   128   0.761476E-09   0.116762E-12  -0.581768E-11   0.703472E-07   0.357647E-09
