a  H_over_H0
4.976339e-02 2.077226e+01
5.001345e-02 2.062105e+01
5.026352e-02 2.047176e+01
5.051358e-02 2.032434e+01
5.076364e-02 2.017877e+01
5.101370e-02 2.003501e+01
5.126376e-02 1.989303e+01
5.151383e-02 1.975280e+01
5.176389e-02 1.961429e+01
5.201395e-02 1.947747e+01
5.226401e-02 1.934232e+01
5.251408e-02 1.920880e+01
5.276414e-02 1.907688e+01
5.301420e-02 1.894655e+01
5.326426e-02 1.881776e+01
5.351432e-02 1.869051e+01
5.376439e-02 1.856476e+01
5.401445e-02 1.844049e+01
5.426451e-02 1.831767e+01
5.451457e-02 1.819628e+01
5.476464e-02 1.807630e+01
5.501470e-02 1.795771e+01
5.526476e-02 1.784048e+01
5.551482e-02 1.772459e+01
5.576489e-02 1.761001e+01
5.601495e-02 1.749674e+01
5.626501e-02 1.738475e+01
5.651507e-02 1.727401e+01
5.676513e-02 1.716451e+01
5.701520e-02 1.705623e+01
5.726526e-02 1.694915e+01
5.751532e-02 1.684326e+01
5.776538e-02 1.673853e+01
5.801545e-02 1.663494e+01
5.826551e-02 1.653248e+01
5.851557e-02 1.643114e+01
5.876563e-02 1.633089e+01
5.901569e-02 1.623172e+01
5.926576e-02 1.613361e+01
5.951582e-02 1.603655e+01
5.976588e-02 1.594052e+01
6.001594e-02 1.584550e+01
6.026601e-02 1.575149e+01
6.051607e-02 1.565846e+01
6.076613e-02 1.556640e+01
6.101619e-02 1.547531e+01
6.126626e-02 1.538515e+01
6.151632e-02 1.529593e+01
6.176638e-02 1.520763e+01
6.201644e-02 1.512023e+01
6.226650e-02 1.503372e+01
6.251657e-02 1.494808e+01
6.276663e-02 1.486332e+01
6.301669e-02 1.477941e+01
6.326675e-02 1.469634e+01
6.351682e-02 1.461410e+01
6.376688e-02 1.453268e+01
6.401694e-02 1.445207e+01
6.426700e-02 1.437226e+01
6.451706e-02 1.429323e+01
6.476713e-02 1.421497e+01
6.501719e-02 1.413748e+01
6.526725e-02 1.406075e+01
6.551731e-02 1.398476e+01
6.576738e-02 1.390950e+01
6.601744e-02 1.383496e+01
6.626750e-02 1.376114e+01
6.651756e-02 1.368803e+01
6.676762e-02 1.361561e+01
6.701769e-02 1.354387e+01
6.726775e-02 1.347281e+01
6.751781e-02 1.340243e+01
6.776787e-02 1.333270e+01
6.801794e-02 1.326362e+01
6.826800e-02 1.319518e+01
6.851806e-02 1.312738e+01
6.876812e-02 1.306021e+01
6.901819e-02 1.299365e+01
6.926825e-02 1.292771e+01
6.951831e-02 1.286236e+01
6.976837e-02 1.279761e+01
7.001843e-02 1.273345e+01
7.026850e-02 1.266987e+01
7.051856e-02 1.260686e+01
7.076862e-02 1.254442e+01
7.101868e-02 1.248253e+01
7.126875e-02 1.242120e+01
7.151881e-02 1.236041e+01
7.176887e-02 1.230016e+01
7.201893e-02 1.224044e+01
7.226899e-02 1.218124e+01
7.251906e-02 1.212257e+01
7.276912e-02 1.206440e+01
7.301918e-02 1.200674e+01
7.326924e-02 1.194959e+01
7.351931e-02 1.189292e+01
7.376937e-02 1.183674e+01
7.401943e-02 1.178105e+01
7.426949e-02 1.172583e+01
7.451956e-02 1.167108e+01
7.476962e-02 1.161680e+01
7.501968e-02 1.156298e+01
7.526974e-02 1.150961e+01
7.551980e-02 1.145669e+01
7.576987e-02 1.140421e+01
7.601993e-02 1.135218e+01
7.626999e-02 1.130057e+01
7.652005e-02 1.124940e+01
7.677012e-02 1.119864e+01
7.702018e-02 1.114831e+01
7.727024e-02 1.109839e+01
7.752030e-02 1.104888e+01
7.777036e-02 1.099977e+01
7.802043e-02 1.095106e+01
7.827049e-02 1.090275e+01
7.852055e-02 1.085483e+01
7.877061e-02 1.080730e+01
7.902068e-02 1.076014e+01
7.927074e-02 1.071337e+01
7.952080e-02 1.066697e+01
7.977086e-02 1.062094e+01
8.002092e-02 1.057527e+01
8.027099e-02 1.052997e+01
8.052105e-02 1.048502e+01
8.077111e-02 1.044043e+01
8.102117e-02 1.039618e+01
8.127124e-02 1.035229e+01
8.152130e-02 1.030873e+01
8.177136e-02 1.026551e+01
8.202142e-02 1.022263e+01
8.227149e-02 1.018008e+01
8.252155e-02 1.013786e+01
8.277161e-02 1.009596e+01
8.302167e-02 1.005438e+01
8.327173e-02 1.001311e+01
8.352180e-02 9.972167e+00
8.377186e-02 9.931529e+00
8.402192e-02 9.891199e+00
8.427198e-02 9.851173e+00
8.452205e-02 9.811447e+00
8.477211e-02 9.772019e+00
8.502217e-02 9.732886e+00
8.527223e-02 9.694045e+00
8.552229e-02 9.655492e+00
8.577236e-02 9.617224e+00
8.602242e-02 9.579240e+00
8.627248e-02 9.541535e+00
8.652254e-02 9.504106e+00
8.677261e-02 9.466952e+00
8.702267e-02 9.430069e+00
8.727273e-02 9.393455e+00
8.752279e-02 9.357106e+00
8.777286e-02 9.321021e+00
8.802292e-02 9.285196e+00
8.827298e-02 9.249629e+00
8.852304e-02 9.214317e+00
8.877310e-02 9.179257e+00
8.902317e-02 9.144448e+00
8.927323e-02 9.109887e+00
8.952329e-02 9.075571e+00
8.977335e-02 9.041498e+00
9.002342e-02 9.007665e+00
9.027348e-02 8.974071e+00
9.052354e-02 8.940712e+00
9.077360e-02 8.907586e+00
9.102366e-02 8.874692e+00
9.127373e-02 8.842027e+00
9.152379e-02 8.809589e+00
9.177385e-02 8.777375e+00
9.202391e-02 8.745384e+00
9.227398e-02 8.713612e+00
9.252404e-02 8.682059e+00
9.277410e-02 8.650723e+00
9.302416e-02 8.619600e+00
9.327423e-02 8.588689e+00
9.352429e-02 8.557988e+00
9.377435e-02 8.527495e+00
9.402441e-02 8.497208e+00
9.427447e-02 8.467125e+00
9.452454e-02 8.437245e+00
9.477460e-02 8.407564e+00
9.502466e-02 8.378082e+00
9.527472e-02 8.348797e+00
9.552479e-02 8.319707e+00
9.577485e-02 8.290809e+00
9.602491e-02 8.262103e+00
9.627497e-02 8.233586e+00
9.652503e-02 8.205256e+00
9.677510e-02 8.177113e+00
9.702516e-02 8.149154e+00
9.727522e-02 8.121378e+00
9.752528e-02 8.093782e+00
9.777535e-02 8.066366e+00
9.802541e-02 8.039127e+00
9.827547e-02 8.012065e+00
9.852553e-02 7.985177e+00
9.877559e-02 7.958462e+00
9.902566e-02 7.931918e+00
9.927572e-02 7.905544e+00
9.952578e-02 7.879339e+00
9.977584e-02 7.853300e+00
1.000259e-01 7.827427e+00
1.002760e-01 7.801717e+00
1.005260e-01 7.776170e+00
1.007761e-01 7.750784e+00
1.010262e-01 7.725558e+00
1.012762e-01 7.700490e+00
1.015263e-01 7.675579e+00
1.017763e-01 7.650823e+00
1.020264e-01 7.626221e+00
1.022765e-01 7.601772e+00
1.025265e-01 7.577475e+00
1.027766e-01 7.553328e+00
1.030267e-01 7.529329e+00
1.032767e-01 7.505478e+00
1.035268e-01 7.481774e+00
1.037768e-01 7.458214e+00
1.040269e-01 7.434799e+00
1.042770e-01 7.411526e+00
1.045270e-01 7.388394e+00
1.047771e-01 7.365403e+00
1.050272e-01 7.342550e+00
1.052772e-01 7.319836e+00
1.055273e-01 7.297258e+00
1.057773e-01 7.274816e+00
1.060274e-01 7.252508e+00
1.062775e-01 7.230333e+00
1.065275e-01 7.208291e+00
1.067776e-01 7.186380e+00
1.070276e-01 7.164598e+00
1.072777e-01 7.142946e+00
1.075278e-01 7.121421e+00
1.077778e-01 7.100024e+00
1.080279e-01 7.078752e+00
1.082780e-01 7.057605e+00
1.085280e-01 7.036581e+00
1.087781e-01 7.015680e+00
1.090281e-01 6.994901e+00
1.092782e-01 6.974243e+00
1.095283e-01 6.953704e+00
1.097783e-01 6.933285e+00
1.100284e-01 6.912983e+00
1.102785e-01 6.892798e+00
1.105285e-01 6.872728e+00
1.107786e-01 6.852774e+00
1.110286e-01 6.832934e+00
1.112787e-01 6.813207e+00
1.115288e-01 6.793593e+00
1.117788e-01 6.774090e+00
1.120289e-01 6.754697e+00
1.122790e-01 6.735414e+00
1.125290e-01 6.716239e+00
1.127791e-01 6.697173e+00
1.130291e-01 6.678214e+00
1.132792e-01 6.659361e+00
1.135293e-01 6.640613e+00
1.137793e-01 6.621970e+00
1.140294e-01 6.603430e+00
1.142795e-01 6.584994e+00
1.145295e-01 6.566660e+00
1.147796e-01 6.548427e+00
1.150296e-01 6.530295e+00
1.152797e-01 6.512262e+00
1.155298e-01 6.494329e+00
1.157798e-01 6.476493e+00
1.160299e-01 6.458756e+00
1.162800e-01 6.441115e+00
1.165300e-01 6.423570e+00
1.167801e-01 6.406121e+00
1.170301e-01 6.388766e+00
1.172802e-01 6.371505e+00
1.175303e-01 6.354337e+00
1.177803e-01 6.337262e+00
1.180304e-01 6.320278e+00
1.182805e-01 6.303386e+00
1.185305e-01 6.286583e+00
1.187806e-01 6.269871e+00
1.190306e-01 6.253248e+00
1.192807e-01 6.236713e+00
1.195308e-01 6.220266e+00
1.197808e-01 6.203906e+00
1.200309e-01 6.187632e+00
1.202809e-01 6.171444e+00
1.205310e-01 6.155341e+00
1.207811e-01 6.139323e+00
1.210311e-01 6.123389e+00
1.212812e-01 6.107538e+00
1.215313e-01 6.091770e+00
1.217813e-01 6.076084e+00
1.220314e-01 6.060479e+00
1.222814e-01 6.044956e+00
1.225315e-01 6.029513e+00
1.227816e-01 6.014149e+00
1.230316e-01 5.998865e+00
1.232817e-01 5.983659e+00
1.235318e-01 5.968531e+00
1.237818e-01 5.953481e+00
1.240319e-01 5.938507e+00
1.242819e-01 5.923610e+00
1.245320e-01 5.908789e+00
1.247821e-01 5.894043e+00
1.250321e-01 5.879372e+00
1.252822e-01 5.864775e+00
1.255323e-01 5.850252e+00
1.257823e-01 5.835801e+00
1.260324e-01 5.821424e+00
1.262824e-01 5.807119e+00
1.265325e-01 5.792885e+00
1.267826e-01 5.778723e+00
1.270326e-01 5.764631e+00
1.272827e-01 5.750609e+00
1.275328e-01 5.736657e+00
1.277828e-01 5.722774e+00
1.280329e-01 5.708960e+00
1.282829e-01 5.695214e+00
1.285330e-01 5.681535e+00
1.287831e-01 5.667924e+00
1.290331e-01 5.654380e+00
1.292832e-01 5.640902e+00
1.295333e-01 5.627490e+00
1.297833e-01 5.614144e+00
1.300334e-01 5.600862e+00
1.302834e-01 5.587646e+00
1.305335e-01 5.574493e+00
1.307836e-01 5.561404e+00
1.310336e-01 5.548378e+00
1.312837e-01 5.535415e+00
1.315338e-01 5.522514e+00
1.317838e-01 5.509675e+00
1.320339e-01 5.496898e+00
