Omega_m,cost,age_Gyr,ok,P1,P2,P3,P4,P5,P6
0.018000,4.65835949432111,52.353921,1,350.0,469.0,650.0,1252.0,1252.0,1550.0
0.018100,4.666847184270354,52.24206,1,350.0,469.0,650.0,1250.0,1250.0,1550.0
0.018200,4.670759013649357,52.130973,1,350.0,468.0,650.0,1248.0,1250.0,1550.0
0.018300,4.67468580755397,52.020651,1,350.0,467.0,650.0,1246.0,1250.0,1550.0
0.018400,4.6786275659841925,51.911085,1,350.0,466.0,650.0,1244.0,1250.0,1550.0
0.018500,4.682930270754381,51.802266,1,350.0,466.0,650.0,1241.0,1250.0,1550.0
0.018600,4.686904951140949,51.694186,1,350.0,465.0,650.0,1239.0,1250.0,1550.0
0.018700,4.689800357133842,51.586835,1,350.0,465.0,650.0,1237.0,1250.0,1550.0
0.018800,4.693801973666509,51.480206,1,350.0,464.0,650.0,1235.0,1250.0,1550.0
0.018900,4.697818554724788,51.37429,1,350.0,463.0,650.0,1233.0,1250.0,1550.0
0.019000,4.701850100308676,51.269078,1,350.0,462.0,650.0,1231.0,1250.0,1550.0
0.019100,3.6038013276858325,51.164564,1,350.0,462.0,650.0,1229.0,1250.0,1939.0
0.019200,3.614617858726142,51.060738,1,350.0,461.0,650.0,1227.0,1250.0,1936.0
0.019300,3.625476290438163,50.957594,1,350.0,460.0,650.0,1225.0,1250.0,1933.0
0.019400,3.6375440457214148,50.855122,1,350.0,460.0,650.0,1223.0,1250.0,1929.0
0.019500,3.6484922645871025,50.753317,1,350.0,459.0,650.0,1221.0,1250.0,1926.0
0.019600,3.6594823841244994,50.65217,1,350.0,458.0,650.0,1219.0,1250.0,1923.0
0.019700,3.6705144043336073,50.551674,1,350.0,457.0,650.0,1217.0,1250.0,1920.0
0.019800,3.6804701430541633,50.451823,1,350.0,457.0,650.0,1215.0,1250.0,1917.0
0.019900,3.690464789541307,50.352608,1,350.0,457.0,650.0,1213.0,1250.0,1914.0
0.020000,3.7027377010206894,50.254023,1,350.0,455.0,650.0,1211.0,1250.0,1911.0
0.020100,3.711688987975624,50.156061,1,350.0,456.0,650.0,1209.0,1250.0,1908.0
0.020200,3.7229215328279195,50.058715,1,350.0,455.0,650.0,1207.0,1250.0,1905.0
0.020300,3.7341959783519263,49.961979,1,350.0,454.0,650.0,1205.0,1250.0,1902.0
0.020400,3.7455123245476436,49.865847,1,350.0,453.0,650.0,1203.0,1250.0,1899.0
0.020500,3.7541834736009134,49.77031,1,350.0,453.0,650.0,1202.0,1250.0,1896.0
0.020600,3.7655746424246854,49.675365,1,350.0,452.0,650.0,1200.0,1250.0,1893.0
0.020700,3.7770077119201684,49.581003,1,350.0,451.0,650.0,1198.0,1250.0,1890.0
0.020800,3.787346542496365,49.487219,1,350.0,451.0,650.0,1196.0,1250.0,1887.0
0.020900,3.797724280839151,49.394007,1,350.0,451.0,650.0,1194.0,1250.0,1884.0
0.021000,3.8068567807492384,49.301361,1,350.0,450.0,650.0,1192.0,1250.0,1882.0
0.021100,3.816852622416204,49.209275,1,350.0,449.0,650.0,1191.0,1250.0,1879.0
0.021200,3.828474244934385,49.117743,1,350.0,448.0,650.0,1189.0,1250.0,1876.0
